asset id,file name,description,url,type,downloads,earnings
FP-001,abstract-geometric-background,abstract geometric shapes colorful modern design background vector,https://www.freepik.com/fp-001,Vector,389,21.20
FP-002,business-team-meeting-flat,business people team meeting office flat illustration,https://www.freepik.com/fp-002,Vector,178,10.10
FP-003,food-icons-set-collection,food restaurant menu icons set collection flat design,https://www.freepik.com/fp-003,Vector,521,28.40
FP-004,mockup-smartphone-screen,smartphone screen mockup template psd presentation,https://www.freepik.com/fp-004,PSD,698,45.50
FP-005,floral-pattern-seamless,seamless floral pattern botanical flowers leaves background,https://www.freepik.com/fp-005,Vector,234,12.90
FP-007,social-media-post-template,social media post template instagram stories design,https://www.freepik.com/fp-007,PSD,912,60.80
FP-011,landing-page-ui-kit,landing page ui kit components web design template,https://www.freepik.com/fp-011,PSD,623,42.70
FP-017,ecommerce-app-ui-design,ecommerce app ui design mobile interface kit template,https://www.freepik.com/fp-017,PSD,789,52.40
FP-020,mockup-tshirt-blank,blank tshirt mockup template psd front back view,https://www.freepik.com/fp-020,PSD,967,63.90
FP-026,resume-cv-template,resume cv template modern design professional layout,https://www.freepik.com/fp-026,PSD,745,49.80
FP-027,icon-pack-line-style,line style icon pack business technology set collection,https://www.freepik.com/fp-027,Vector,312,17.30
FP-028,wedding-invitation-set,wedding invitation set romantic floral design template,https://www.freepik.com/fp-028,Vector,445,24.50
FP-029,dashboard-ui-dark,dashboard ui dark mode analytics interface template,https://www.freepik.com/fp-029,PSD,867,57.80
FP-030,pattern-memphis-style,memphis style pattern geometric shapes 80s retro design,https://www.freepik.com/fp-030,Vector,289,15.60
FP-031,mockup-coffee-cup,coffee cup mockup template psd branding presentation,https://www.freepik.com/fp-031,PSD,534,35.60
FP-032,vector-illustration-people,diverse people characters set flat illustration collection,https://www.freepik.com/fp-032,Vector,401,22.10
FP-033,abstract-watercolor-background,abstract watercolor background texture splash artistic design,https://www.freepik.com/fp-033,Vector,356,19.40
FP-034,mobile-app-screens,mobile app screens ui design kit template presentation,https://www.freepik.com/fp-034,PSD,0,0
FP-035,hand-lettering-alphabet,hand lettering alphabet calligraphy font design set,https://www.freepik.com/fp-035,Vector,178,9.80
